note_id,status,concept,core_question,source_ids,related_articles,related_tags,next_action
note-teacher-workload,linked,Cognitive load of teaching,Cognitive-load Quiet Eye ecological dynamics and motor-learning research frame teaching as hidden attention sequencing timing and feedback labour.,"vickers-quiet-eye; davids-ecological-dynamics; krakauer-motor-learning; sweller-1988-cognitive-load; lavie-2005-attention-load","9; 10; When Teaching Replaces Practice","Flow State; Music & Emotion; Rhythm & Entrainment","Use Sweller and Lavie for attentional load, Vickers for gaze/timing, and Krakauer/Davids for learning and constraints. Add teacher-specific workload evidence before making occupational-health claims."
note-beat-motor-areas,linked,Beat perception and motor preparation,Beat perception research shows that listening to rhythm can recruit motor planning regions even without overt movement.,grahn-brett-2007-beat,"3; 6; 10; 12","Rhythm & Entrainment; Music & Emotion; Flow State","Use Grahn and Brett for the beat-motor bridge. Keep claims about movement readiness separate from claims about improved performance."
note-neural-resonance-rhythm,linked,Pulse and meter as neural resonance,Large and Snyder frame rhythm perception as dynamic neural resonance between external pulse and internal timing systems.,large-snyder-neural-entrainment,"3; 6; 7; 8; 10; 12","Rhythm & Entrainment; Music & Emotion; Flow State","Use as theory for pulse and meter; pair with empirical sources when claiming measured neural entrainment."
note-music-exercise-effects,linked,Music effects in exercise and sport,Music meta-analysis suggests effects on affect perceived exertion performance and physiological efficiency but mechanisms depend on context preference synchrony and task.,terry-2020-music-exercise-meta,"3; 10; 12","Rhythm & Entrainment; Music & Emotion; Flow State","Use as bounded performance context for music and movement. Avoid treating music as a universal performance enhancer."
note-homeostasis-feedback,linked,Homeostasis and internal stability,Walter Cannon's homeostasis model frames physiology as feedback regulation that protects internal stability under changing external conditions.,cannon-wisdom-body,"5; 9; 12","Breath & Nervous System","Use Cannon as historical lineage for regulation before moving to allostasis and predictive regulation."
note-allostasis-stability-change,linked,Allostasis as stability through change,Sterling and Eyer's allostasis framework reframes regulation as anticipatory adaptation to predicted demand rather than return to one fixed set point.,"sterling-eyer-1988-allostasis; sterling-allostasis","5; 9; 12; The Next Performance Revolution Won't Happen Inside You","Breath & Nervous System; Flow State","Use alongside Sterling 2012 to connect allostasis with predictive regulation."
note-allostatic-load,linked,Allostatic load and stress cost,McEwen's allostatic-load work explains how adaptive stress mediators can become costly when repeatedly or chronically activated.,"mcewen-1998-stress-mediators; sterling-allostasis","5; 9; 11; 12","Breath & Nervous System","Use carefully: allostatic load is not a quick proxy for whether one class or room design worked."
note-interoceptive-body-prediction,linked,Interoception and embodied prediction,Craig Critchley Garfinkel Barrett and Seth support the view that bodily feeling is actively interpreted rather than passively read out.,"craig-2009-interoception-awareness; garfinkel-2015-knowing-own-heart; seth-2013-interoceptive-inference","4; 5; 6; 9; 12","Breath & Nervous System; Light & Perception","Use for body-awareness and predictive-regulation language; add Barrett-specific source later if the article needs a dedicated affect-construction object."
note-unconscious-inference,linked,Unconscious inference in perception,Helmholtz's unconscious-inference lineage frames perception as active interpretation from incomplete sensory evidence.,helmholtz-unconscious-inference,"4; 6; 9; 12","Breath & Nervous System; Light & Perception","Use as historical lineage for predictive perception rather than modern empirical proof."
note-ecological-affordances,linked,Affordances and perception-action coupling,Gibson's ecological psychology shows that perception is oriented toward possible action within environments.,gibson-affordances,"1; 4; 9; 10; 12; The Next Performance Revolution Won't Happen Inside You","Flow State; Light & Perception","Use Gibson as the action bridge from perception theory to designed environments."
note-awe-small-self-prosocial,linked,Awe small self and prosocial behaviour,Awe studies link vastness and accommodation with reduced self-focus and increased prosocial tendencies while preserving individual variability.,"keltner-awe; piff-keltner-2015-awe-small-self","The Neuroscience of Awe; Why Beauty Matters; 12","Music & Emotion; Flow State; Light & Perception","Use as statistical tendency language, not as a guaranteed emotional effect from any single environment."
note-restorative-environments-awe,linked,Restoration and awe in environments,Environmental psychology and awe research separate gentle attention restoration from expansive shifts in meaning and self-focus.,"ulrich-1984-window-view; kaplan-attention-restoration-theory; keltner-awe","1; 6; 12; Why Beauty Matters; The Neuroscience of Awe","Light & Perception; Music & Emotion","Use to distinguish restoration from awe: both matter for place design, but they are not the same state."
note-visual-neuroaesthetics,linked,Visual neuroaesthetics and beauty,Zeki's neuroaesthetics work treats beauty as a legitimate subject of visual neuroscience and aesthetic perception.,zeki-inner-vision,"1; 6; 12; Why Beauty Matters; The Neuroscience of Awe","Light & Perception; Music & Emotion","Use as neuroaesthetics lineage and pair with stronger empirical papers for specific neural claims."
note-aesthetic-brain-cognition,linked,Aesthetic cognition and decision making,Chatterjee's aesthetic-brain synthesis links beauty to interacting systems for perception attention emotion memory and meaning.,chatterjee-aesthetic-brain,"1; 6; 10; 12; Why Beauty Matters","Light & Perception; Music & Emotion","Use to keep beauty connected to cognition and meaning while avoiding a universal beauty signature."
