researcher_id,name,affiliation,field,known_for,key_source_ids,website_or_profile,notes
ignacio-provencio,Ignacio Provencio,,neuroscience; melanopsin; nonvisual photoreception,melanopsin discovery and mammalian inner-retina localization,provencio-melanopsin,,Affiliation and profile URL need verification before public citation.
russell-foster,Russell Foster,,circadian neuroscience; sleep; photoreception,non-rod non-cone ocular photoreception and human circadian neuroscience,foster-circadian-neuroscience,,Affiliation and profile URL need verification before public citation.
satchidananda-panda,Satchidananda Panda,,circadian biology; light; metabolism,melanopsin and light-induced circadian phase shifting,panda-circadian-timing,,Affiliation and profile URL need verification before public citation.
robert-lucas,Robert J. Lucas,,visual neuroscience; melanopsin; light measurement,melanopsin-era light measurement and nonvisual lighting metrics,lucas-2014-melanopsin-age,,Affiliation and profile URL need verification before public citation.
cie,International Commission on Illumination (CIE),,lighting standards; optical radiation metrology; ipRGC-influenced responses,standardized measurement of light for visual and nonvisual photoreceptor responses,cie-iprgc-standards,https://cie.co.at/,Institutional profile for CIE S 026/E:2018 lighting measurement standard.
marija-pranjic,Marija Pranjic,,auditory-motor entrainment; neuroimaging; rhythm,neural mechanisms of auditory-motor entrainment and synchronization,pranjic-janzen-thaut-2024-entrainment,,Affiliation and profile URL need verification before public citation.
thenille-braun-janzen,Thenille Braun Janzen,,music neuroscience; auditory-motor synchronization,auditory-motor entrainment and rhythm neuroscience,pranjic-janzen-thaut-2024-entrainment,,Affiliation and profile URL need verification before public citation.
michael-thaut,Michael H. Thaut,,neurologic music therapy; rhythm; movement rehabilitation,rhythmic auditory stimulation and neurologic music therapy,"pranjic-janzen-thaut-2024-entrainment; thaut-rhythm-music-brain; thaut-1996-ras-parkinsons; thaut-2015-neurologic-music-therapy",,Affiliation and profile URL need verification before public citation.
edward-large,Edward W. Large,,music cognition; rhythm; neural resonance,dynamic attending and neural resonance models of rhythm perception,large-snyder-neural-entrainment,,Affiliation and profile URL need verification before public citation.
joel-snyder,Joel S. Snyder,,auditory neuroscience; rhythm perception,neural resonance account of pulse and meter,large-snyder-neural-entrainment,,Affiliation and profile URL need verification before public citation.
sylvie-nozaradan,Sylvie Nozaradan,,cognitive neuroscience; music; EEG,neural entrainment to beat and meter in musical rhythm,nozaradan-2012-beat-meter,,Affiliation and profile URL need verification before public citation.
rick-adams,Rick A. Adams,,computational psychiatry; active inference; motor control,active inference in the motor system,adams-2013-predictions-not-commands,,Affiliation and profile URL need verification before public citation.
stewart-shipp,Stewart Shipp,,neuroanatomy; predictive coding; motor system,active inference and motor-system predictive coding,adams-2013-predictions-not-commands,,Affiliation and profile URL need verification before public citation.
barry-stein,Barry E. Stein,,neuroscience; multisensory integration,single-neuron and systems-level multisensory integration,stein-stanford-2008-multisensory,,Affiliation and profile URL need verification before public citation.
terrence-stanford,Terrence R. Stanford,,neuroscience; multisensory integration; sensorimotor systems,multisensory integration and superior-colliculus mechanisms,stein-stanford-2008-multisensory,,Affiliation and profile URL need verification before public citation.
john-sweller,John Sweller,,educational psychology; cognitive load; learning,cognitive load theory and working-memory constraints,sweller-1988-cognitive-load,,Affiliation and profile URL need verification before public citation.
nilli-lavie,Nilli Lavie,,cognitive neuroscience; attention; perceptual load,attention and cognitive control under load,lavie-2005-attention-load,,Affiliation and profile URL need verification before public citation.
don-norman,Don Norman,,cognitive science; human-centered design; usability,human-centered design affordances and cognitive usability,norman-design-everyday-things,,Profile link not verified yet.
steve-jobs,Steve Jobs,,product design; interface philosophy; technology culture,technology as an extension of intention and experience,apple-human-interface-guidelines,,Historical profile linked through Apple interface-design lineage.
apple-human-interface-guidelines,Apple Human Interface Guidelines,,interface design; platform conventions; usability,interaction conventions that reduce interface complexity,apple-human-interface-guidelines,https://developer.apple.com/design/human-interface-guidelines/,Institutional design-guideline profile for Apple HIG.
neural-efficiency-research,Neural Efficiency Research,,cognitive neuroscience; expertise; neural efficiency,expertise and ability as conditional reductions in unnecessary neural recruitment,neubauer-fink-2009-neural-efficiency,,Research-lineage profile for neural efficiency evidence.
jessica-grahn,Jessica A. Grahn,,music neuroscience; rhythm perception; motor systems,beat perception and motor-system involvement in rhythm listening,grahn-brett-2007-beat,,Affiliation and profile URL need verification before public citation.
matthew-brett,Matthew Brett,,cognitive neuroscience; neuroimaging; rhythm perception,neuroimaging evidence for rhythm and beat perception in motor areas,grahn-brett-2007-beat,,Affiliation and profile URL need verification before public citation.
peter-terry,Peter C. Terry,,sport psychology; exercise; music and performance,music effects in exercise and sport performance,terry-2020-music-exercise-meta,,Affiliation and profile URL need verification before public citation.
costas-karageorghis,Costas I. Karageorghis,,sport psychology; music; exercise performance,music in sport and exercise psychology,terry-2020-music-exercise-meta,,Affiliation and profile URL need verification before public citation.
walter-cannon,Walter B. Cannon,,physiology; homeostasis; stress physiology,homeostasis and feedback regulation of the internal body,cannon-wisdom-body,,Historical profile linked to homeostasis source.
joseph-eyer,Joseph Eyer,,stress physiology; allostasis; public health,early allostasis framework with Peter Sterling,sterling-eyer-1988-allostasis,,Affiliation and profile URL need verification before public citation.
bruce-mcewen,Bruce S. McEwen,,neuroscience; stress physiology; allostatic load,stress mediators and allostatic load,mcewen-1998-stress-mediators,,Historical profile linked to allostatic-load source.
