source_id,status,type,title_or_source,authors_or_researchers,year_or_period,used_in,notes
cie-iprgc-standards,verified,standard,CIE S 026/E:2018 CIE System for Metrology of Optical Radiation for ipRGC-Influenced Responses to Light,CIE,2018,Article 2,Verified in references.csv with CIE DOI; use for measurement language and avoid relying only on photopic lux.
lucas-2014-melanopsin-age,verified,paper,Measuring and using light in the melanopsin age,Lucas RJ et al.,2014,Article 2,Verified in references.csv with Trends in Neurosciences DOI; use as bridge between melanopsin science and lighting specification.
pranjic-janzen-thaut-2024-entrainment,verified,paper,From Sound to Movement: Mapping the Neural Mechanisms of Auditory-Motor Entrainment and Synchronization,Marija Pranjic; Thenille Braun Janzen; Michael Thaut et al.,2024,"Article 3; additional manifesto",Verified in references.csv with Brain Sciences DOI and PubMed link.
thaut-rhythm-music-brain,verified,book,Rhythm Music and the Brain,Michael H. Thaut,2005,Article 3,Verified in references.csv with Routledge DOI; pair with clinical RAS papers for specific outcome claims.
large-snyder-neural-entrainment,verified,paper/review,Pulse and Meter as Neural Resonance,Edward W. Large; Joel S. Snyder,2009,Article 3,Verified in references.csv with Annals of the New York Academy of Sciences DOI and PubMed link.
csikszentmihalyi-flow,verified,book/chapter,Flow and optimal experience,Mihaly Csikszentmihalyi,1988-1990,"Article 7; Article 8; Article 11; Article 12",Verified in references.csv with Cambridge/Springer DOI source for optimal-experience framing; use as foundational flow theory.
kounios-beeman-insight,verified,review,The cognitive neuroscience of insight,John Kounios; Mark Beeman,2014,"Article 7; Article 8; Article 11",Verified in references.csv with Annual Review of Psychology DOI and PubMed link.
rosen-kounios-2024-jazz-flow,verified,paper,Creative flow as optimized processing,David S. Rosen; John Kounios et al.,2024,"Article 7; Article 8; Article 11; additional manifesto",Verified in references.csv with Neuropsychologia DOI and PubMed link.
kounios-flow-neuroscience,superseded,researcher/source,Flow neuroscience and expertise,John Kounios,various,"Article 7; Article 8; Article 10; Article 11; Article 12",Superseded by rosen-kounios-2024-jazz-flow plus kounios-beeman-insight.
bowden-beeman-2003-aha,verified,paper,Aha! Insight experience correlates with solution activation in the right hemisphere,Edward M. Bowden; Mark Jung-Beeman,2003,"Article 7; Article 11",Verified in references.csv with Psychonomic Bulletin & Review DOI and PubMed link.
helmholtz-unconscious-inference,verified,book/theory,Unconscious inference,Hermann von Helmholtz,19th century,Article 4,Verified in references.csv with Treatise on Physiological Optics source page; use as historical lineage.
seth-2013-interoceptive-inference,verified,paper,"Interoceptive inference, emotion, and the embodied self",Anil K. Seth,2013,"Article 4; Article 5",Verified in references.csv with Trends in Cognitive Sciences DOI and PubMed link.
adams-2013-predictions-not-commands,verified,paper,Predictions not commands: active inference in the motor system,Rick A. Adams; Stewart Shipp; Karl J. Friston,2013,"Article 4; Article 10",Verified in references.csv with Brain Structure and Function DOI and PubMed link.
stein-stanford-2008-multisensory,verified,paper,Multisensory integration: current issues from the perspective of the single neuron,Barry E. Stein; Terrence R. Stanford,2008,"Article 5; Article 10",Verified in references.csv with Nature Reviews Neuroscience DOI and PubMed link.
sweller-1988-cognitive-load,verified,paper,Cognitive Load During Problem Solving: Effects on Learning,John Sweller,1988,"Article 5; Article 10",Verified in references.csv with Cognitive Science DOI; use for working-memory load and instructional complexity.
lavie-2005-attention-load,verified,paper,Distracted and confused?: Selective attention under load,Nilli Lavie,2005,"Article 5; Article 10",Verified in references.csv with Trends in Cognitive Sciences DOI and PubMed link.
bernard-milieu-interieur,verified,book/theory,Milieu interieur and internal environment,Claude Bernard,1878,Article 5,Verified in references.csv with Internet Archive source page for Bernard's 1878 lectures; use as historical lineage for internal-environment regulation.
gibson-affordances,verified,book/theory,The Ecological Approach to Visual Perception,James J. Gibson,1979; 2014 classic edition,"Article 4; Article 7",Verified in references.csv with Routledge/Psychology Press DOI; use for affordances and perception-action coupling.
sterling-allostasis,verified,paper/theory,Allostasis: A model of predictive regulation,Peter Sterling,2012,"Article 5; Article 9; Article 12",Verified in references.csv with Physiology & Behavior DOI and PubMed link; use for predictive regulation and allostasis.
vickers-quiet-eye,verified,review,The Quiet Eye: Origins Controversies and Future Directions,Joan N. Vickers,2016,"Article 10; Article 11; Article 12",Verified in references.csv with Kinesiology Review DOI; use for expert gaze and pre-movement attentional control.
krakauer-motor-learning,verified,review,Motor Learning,John W. Krakauer et al.,2019,Article 10,Verified in references.csv with Comprehensive Physiology DOI and PubMed link; use for adaptation skill learning and feedback.
davids-ecological-dynamics,verified,book-chapter,Ecological Dynamics: A Theoretical Framework for Understanding Sport Performance Physical Education and Physical Activity,Ludovic Seifert; Keith Davids,2017,"Article 10; Article 12",Verified in references.csv with Springer DOI; use for constraints-led practice and representative learning design.
keltner-awe,verified,paper/theory,Approaching awe a moral spiritual and aesthetic emotion,Dacher Keltner; Jonathan Haidt,2003,"The Neuroscience of Awe; Article 10",Verified in references.csv with Cognition and Emotion DOI; use for vastness/accommodation definition of awe.
hutchins-distributed-cognition,verified,paper,Distributed cognition toward a new foundation for human-computer interaction research,James Hollan; Edwin Hutchins; David Kirsh,2000,Article 10,Verified in references.csv with ACM Transactions on Computer-Human Interaction DOI; use for invisible technology and cognition distributed across people tools and environments.
khalsa-yoga-self-regulation,verified,paper/review,Potential self-regulatory mechanisms of yoga for psychological health,Tim Gard; Jessica Noggle; Crystal Park; David Vago; Angela Wilson,2014,"Article 5; Article 10; Article 12",Verified in references.csv with Frontiers in Human Neuroscience DOI and PubMed link; strongest direct source for yoga as self-regulation.
nacke-2024-activity-autonomy-flow,needs_url,paper,Activity-Autonomy Theory of Flow,Nacke et al.,2024,Additional synthesis,Needs verification and DOI.
chabin-2025-interpersonal-synchrony,needs_url,paper,Interpersonal Synchrony and Human Coordination,Chabin et al.,2025,Additional synthesis,Needs verification and DOI.
