source_id,type,title,authors,year,journal_or_publisher,doi,url,topic,tags,used_in,short_summary,notes
pranjic-janzen-thaut-2024-entrainment,paper,From Sound to Movement: Mapping the Neural Mechanisms of Auditory-Motor Entrainment and Synchronization,Marija Pranjic; Thenille Braun Janzen; Nikolina Vuksic; Michael Thaut,2024,Brain Sciences,10.3390/brainsci14111063,https://pubmed.ncbi.nlm.nih.gov/39595826/,Rhythm and entrainment,auditory-motor entrainment; synchronization; neuroimaging,"Article 3; Article 10; Article 12","Scoping review of neuroimaging studies on auditory-motor entrainment and synchronization; maps rhythm-to-movement networks including premotor, supplementary motor, basal ganglia, cerebellar, and prefrontal systems.",Use as current overview; it synthesizes evidence rather than testing one studio-like intervention.
thaut-rhythm-music-brain,book,Rhythm Music and the Brain: Scientific Foundations and Clinical Applications,Michael H. Thaut,2005,Routledge,10.4324/9780203958827,https://doi.org/10.4324/9780203958827,Rhythm and entrainment,neurologic music therapy; rhythmic entrainment; movement rehabilitation,Article 3,"Foundational book for neurologic music therapy and rhythm-based motor rehabilitation; useful for explaining why rhythm can function as movement infrastructure rather than only entertainment.",Book source; pair with clinical papers for specific outcome claims.
thaut-1996-ras-parkinsons,paper,Rhythmic Auditory Stimulation in Gait Training for Parkinson's Disease Patients,Michael H. Thaut et al.,1996,Movement Disorders,10.1002/mds.870110213,https://pubmed.ncbi.nlm.nih.gov/8684391/,Rhythm and entrainment,rhythmic auditory stimulation; gait; Parkinson disease,Article 3,"Clinical gait-training study using rhythmic auditory stimulation in Parkinson disease; reports improvements in velocity, stride length, cadence, and gait timing after rhythm-paced training.",Use for rehabilitation and cadence claims; avoid generalizing directly to healthy yoga participants.
thaut-2015-neurologic-music-therapy,paper,Neurobiological Foundations of Neurologic Music Therapy: Rhythmic Entrainment and the Motor System,Michael H. Thaut; Gerald C. McIntosh; Volker Hoemberg,2015,Frontiers in Psychology,10.3389/fpsyg.2014.01185,https://pubmed.ncbi.nlm.nih.gov/25774137/,Rhythm and entrainment,neurologic music therapy; motor system; rhythmic entrainment,Article 3,"Review of rhythmic entrainment as a mechanism for neurologic music therapy, especially how auditory rhythm can couple with motor timing and support movement rehabilitation.",Good bridge from clinical methods to neural mechanism.
large-snyder-neural-entrainment,paper,Pulse and Meter as Neural Resonance,Edward W. Large; Joel S. Snyder,2009,Annals of the New York Academy of Sciences,10.1111/j.1749-6632.2009.04550.x,https://pubmed.ncbi.nlm.nih.gov/19673754/,Rhythm and entrainment,neural resonance; pulse; meter; rhythm perception,Article 3,"Theoretical neuroscience account proposing that pulse and meter perception can be understood through neural resonance; useful for framing rhythm as predictive temporal structure.",Use as theory; pair with EEG/neuroimaging evidence for empirical claims.
nozaradan-2012-beat-meter,paper,Selective Neuronal Entrainment to the Beat and Meter Embedded in a Musical Rhythm,Sylvie Nozaradan; Isabelle Peretz; Andre Mouraux,2012,The Journal of Neuroscience,10.1523/JNEUROSCI.3203-12.2012,https://pubmed.ncbi.nlm.nih.gov/23223281/,Rhythm and entrainment,EEG; beat perception; meter; neural entrainment,Article 3,"EEG study showing enhanced neural responses at perceived beat and meter frequencies, even when those frequencies are not simply dominant in the acoustic signal; useful evidence that the brain constructs rhythmic structure.",Use for beat/meter neural entrainment, not all forms of social synchrony.
helmholtz-unconscious-inference,book/theory,Treatise on Physiological Optics,Hermann von Helmholtz,1867; 1925 translation,Leopold Voss; Optical Society of America,,https://archive.org/details/bwb_P6-AGP-389_1-2,Predictive processing,unconscious inference; visual perception; historical lineage,Article 4,"Historical anchor for unconscious inference: perception is treated as an active interpretive process rather than passive recording of sensory input.",Historical source; use for lineage and conceptual ancestry rather than modern empirical evidence.
clark-surfing-uncertainty,book,"Surfing Uncertainty: Prediction, Action, and the Embodied Mind",Andy Clark,2016,Oxford University Press,10.1093/acprof:oso/9780190217013.001.0001,https://doi.org/10.1093/acprof:oso/9780190217013.001.0001,Predictive processing,predictive processing; embodied cognition; action,Article 4,"Major synthesis of predictive processing and embodied cognition, useful for framing perception, action, and bodily regulation as coupled prediction-error dynamics.",Book source; pair with papers for specific neural or behavioral claims.
seth-being-you,book,Being You: A New Science of Consciousness,Anil Seth,2021,Faber and Faber,,https://www.anilseth.com/being-you/,Predictive processing,consciousness; controlled hallucination; selfhood,Article 4,"Accessible synthesis of consciousness science that popularizes perception as controlled prediction while tying conscious selfhood to bodily and interoceptive processes.",Trade book; useful for public-facing language but not a standalone empirical source.
seth-2013-interoceptive-inference,paper,"Interoceptive inference, emotion, and the embodied self",Anil K. Seth,2013,Trends in Cognitive Sciences,10.1016/j.tics.2013.09.007,https://pubmed.ncbi.nlm.nih.gov/24126130/,Predictive processing,interoception; emotion; embodied self; predictive coding,"Article 4; Article 5","Extends predictive processing to interoception and emotion, arguing that embodied self-experience depends on inference about internal bodily causes as well as external sensory causes.",Strong bridge source for breath/body-awareness language; keep intervention claims modest.
adams-2013-predictions-not-commands,paper,Predictions not commands: active inference in the motor system,Rick A. Adams; Stewart Shipp; Karl J. Friston,2013,Brain Structure and Function,10.1007/s00429-012-0475-5,https://pubmed.ncbi.nlm.nih.gov/23129312/,Predictive processing,active inference; motor control; proprioception; prediction,"Article 4; Article 10","Review proposing that motor control can be understood through active inference: actions fulfil proprioceptive predictions rather than merely executing top-down commands.",Useful for movement sequencing and proprioceptive prediction framing; avoid implying it directly tests yoga practice.
stein-stanford-2008-multisensory,paper,Multisensory integration: current issues from the perspective of the single neuron,Barry E. Stein; Terrence R. Stanford,2008,Nature Reviews Neuroscience,10.1038/nrn2331,https://pubmed.ncbi.nlm.nih.gov/18354398/,Sensory coherence,multisensory integration; sensory congruence; neural integration,"Article 5; Article 10","Review of how neurons combine inputs across senses, including spatial and temporal constraints on when multisensory signals enhance or interfere with perception and action.",Use for general multisensory coherence; not direct evidence about yoga-studio ambience.
sweller-1988-cognitive-load,paper,Cognitive Load During Problem Solving: Effects on Learning,John Sweller,1988,Cognitive Science,10.1207/s15516709cog1202_4,https://doi.org/10.1207/s15516709cog1202_4,Sensory coherence,cognitive load; working memory; schema acquisition; instructional design,"Article 5; Article 10","Foundational cognitive-load paper arguing that problem-solving formats can consume working-memory resources that would otherwise support learning and schema formation.",Useful for reducing unnecessary complexity in cues/interfaces; translate carefully from learning tasks to studio design.
lavie-2005-attention-load,paper,Distracted and confused?: Selective attention under load,Nilli Lavie,2005,Trends in Cognitive Sciences,10.1016/j.tics.2004.12.004,https://pubmed.ncbi.nlm.nih.gov/15668100/,Sensory coherence,attention; distraction; perceptual load; cognitive control,"Article 5; Article 10","Review of load theory showing that perceptual and cognitive load shape how well people filter distractors and maintain selective attention.",Good support for attentional friction language; avoid treating all load as harmful.
csikszentmihalyi-flow,book/chapter,The flow experience and its significance for human psychology,Mihaly Csikszentmihalyi,1988,Optimal Experience,10.1017/cbo9780511621956.002,https://doi.org/10.1017/cbo9780511621956.002,Flow state,flow; optimal experience; attention; challenge-skill balance,"Article 7; Article 8; Article 11; Article 12","Foundational flow chapter describing flow as deep task absorption shaped by clear goals, feedback, concentration, intrinsic reward, and the relation between challenge and skill.",Use as foundational theory; pair with newer neuroscience and measurement work for biological claims.
kounios-beeman-insight,review,The cognitive neuroscience of insight,John Kounios; Mark Beeman,2014,Annual Review of Psychology,10.1146/annurev-psych-010213-115154,https://pubmed.ncbi.nlm.nih.gov/24405359/,Creative insight,insight; Aha experience; creativity; cognitive neuroscience,"Article 7; Article 8; Article 11","Review synthesizing behavioral and neural work on insight problem solving, including preparation, unconscious processing, neural precursors, and Aha experience.",Use for insight and creative-cognition framing; do not collapse insight into flow.
bowden-beeman-2003-aha,paper,Aha! Insight experience correlates with solution activation in the right hemisphere,Edward M. Bowden; Mark Jung-Beeman,2003,Psychonomic Bulletin & Review,10.3758/bf03196539,https://pubmed.ncbi.nlm.nih.gov/14620371/,Creative insight,Aha experience; right hemisphere; semantic activation; insight problem solving,"Article 7; Article 11","Experimental insight paper showing that reported Aha experiences correlate with solution-related activation patterns, supporting the idea that solutions can be partly activated before conscious report.",Useful for preconscious-idea language; avoid overstating hemispheric specialization.
rosen-kounios-2024-jazz-flow,paper,Creative flow as optimized processing: Evidence from brain oscillations during jazz improvisations by expert and non-expert musicians,David Rosen; Yongtaek Oh; Christine Chesebrough; Fengqing Zoe Zhang; John Kounios,2024,Neuropsychologia,10.1016/j.neuropsychologia.2024.108824,https://pubmed.ncbi.nlm.nih.gov/38387554/,Flow state,creative flow; EEG; jazz improvisation; expertise,"Article 7; Article 8; Article 11; Article 12","EEG study of jazz guitar improvisation linking higher flow and expertise with reduced frontal/executive activity and greater posterior/central activity, consistent with optimized processing in skilled creative performance.",Strong flow-neuroscience source; limited to a specific creative-expertise task and not a universal biomarker.
bernard-milieu-interieur,book/theory,Lecons Sur Les Phenomenes de la Vie Communs Aux Animaux Et Aux Vegetaux,Claude Bernard,1878,Bailliere,,https://archive.org/details/leonssurlesphno00berngoog,Breath and nervous system,physiology; internal environment; regulation,"Article 5; Article 12","Historical lectures associated with Bernard's internal-environment framing; useful as lineage for later homeostasis and allostasis concepts rather than as modern experimental evidence.",Historical source; pair with Sterling and contemporary physiology for current claims.
sterling-allostasis,paper/review,Allostasis: A model of predictive regulation,Peter Sterling,2012,Physiology & Behavior,10.1016/j.physbeh.2011.06.004,https://pubmed.ncbi.nlm.nih.gov/21684297/,Breath and nervous system,allostasis; predictive regulation; physiology,"Article 5; Article 9; Article 12","Review framing allostasis as predictive regulation: the brain anticipates needs, prioritizes resources, and adjusts bodily parameters efficiently rather than defending rigid set points.",Strong conceptual bridge for regulation language; does not prove specific room or class designs directly regulate physiology.
gibson-affordances,book/theory,The Ecological Approach to Visual Perception,James J. Gibson,1979; 2014 classic edition,Psychology Press,10.4324/9781315740218,https://doi.org/10.4324/9781315740218,State engineering,affordances; ecological psychology; perception-action,"Article 4; Article 7; Article 10","Classic ecological-perception source emphasizing that environments are perceived in relation to possible action; useful for translating design features into affordances for movement and attention.",Theory source; use for perception-action framing, not direct outcome evidence.
khalsa-yoga-self-regulation,paper/review,Potential self-regulatory mechanisms of yoga for psychological health,Tim Gard; Jessica J. Noggle; Crystal L. Park; David R. Vago; Angela Wilson,2014,Frontiers in Human Neuroscience,10.3389/fnhum.2014.00770,https://pubmed.ncbi.nlm.nih.gov/25368562/,Breath and nervous system,yoga; self-regulation; psychological health; interoception,"Article 5; Article 10; Article 12","Review proposing self-regulatory pathways through which yoga may affect psychological health, including attention control, emotion regulation, body awareness, and stress physiology.",Mechanistic review; keep claims about specific breathing practices or class designs conditional unless supported by direct trials.
vickers-quiet-eye,review,The Quiet Eye: Origins Controversies and Future Directions,Joan N. Vickers,2016,Kinesiology Review,10.1123/kr.2016-0005,https://doi.org/10.1123/kr.2016-0005,Elite performance teaching,quiet eye; gaze control; expert performance; attention,"Article 10; Article 11; Article 12","Review of Quiet Eye research tracing how final fixations before movement relate to expertise, decision making, and motor performance across sport and skilled action contexts.",Useful for gaze and attentional timing; translate carefully into yoga teaching rather than treating it as direct class evidence.
krakauer-motor-learning,review,Motor Learning,John W. Krakauer; Adrian M. Hadjiosif; Jing Xu; Aaron L. Wong; Adrian M. Haith,2019,Comprehensive Physiology,10.1002/cphy.c170043,https://pubmed.ncbi.nlm.nih.gov/30873583/,Elite performance teaching,motor learning; adaptation; skill; feedback,"Article 10; Article 11; Article 12","Comprehensive review of motor learning mechanisms, including adaptation, skill acquisition, feedback, practice, memory, and transfer.",Strong general motor-learning source; use to design teaching hypotheses, not to claim one cueing method is proven for yoga.
davids-ecological-dynamics,book-chapter,Ecological Dynamics: A Theoretical Framework for Understanding Sport Performance Physical Education and Physical Activity,Ludovic Seifert; Keith Davids,2017,First Complex Systems Digital Campus World E-Conference 2015,10.1007/978-3-319-45901-1_3,https://doi.org/10.1007/978-3-319-45901-1_3,Elite performance teaching,ecological dynamics; constraints-led approach; skill acquisition; practice design,"Article 10; Article 12","Theoretical chapter framing skill learning as a person-task-environment system shaped by constraints, affordances, variability, and representative practice.",Good bridge for teaching environment and cue design; keep claims about studio outcomes as applied hypotheses.
keltner-awe,paper/theory,Approaching awe a moral spiritual and aesthetic emotion,Dacher Keltner; Jonathan Haidt,2003,Cognition and Emotion,10.1080/02699930302297,https://doi.org/10.1080/02699930302297,Awe and beauty,awe; vastness; accommodation; aesthetic emotion,"Article 1; Article 10; The Neuroscience of Awe","Foundational paper defining awe around perceived vastness and a need for accommodation, with moral, spiritual, natural, and aesthetic variants.",Use to distinguish awe from beauty and flow; it is a theory-building paper rather than a design intervention.
piff-keltner-2015-awe-small-self,paper,Awe the small self and prosocial behavior,Paul K. Piff; Pia Dietze; Matthew Feinberg; Daniel M. Stancato; Dacher Keltner,2015,Journal of Personality and Social Psychology,10.1037/pspi0000018,https://pubmed.ncbi.nlm.nih.gov/25984788/,Awe and beauty,awe; small self; prosocial behavior; emotion,"Article 10; The Neuroscience of Awe","Multi-study paper linking awe experiences with a smaller self-focus and more prosocial tendencies, useful for grounding awe as more than aesthetic pleasure.",Use carefully: social/emotional outcomes should not be generalized to every beautiful environment.
hutchins-distributed-cognition,paper,Distributed cognition: toward a new foundation for human-computer interaction research,James Hollan; Edwin Hutchins; David Kirsh,2000,ACM Transactions on Computer-Human Interaction,10.1145/353485.353487,https://doi.org/10.1145/353485.353487,Invisible technology,distributed cognition; HCI; cognitive systems; tools,"Article 10; Can Technology Become Invisible?","Argues that human-computer interaction should be understood across whole environments where cognition is distributed among people, artifacts, tools, representations, and activity over time.",Strong product-theory source; pair with user research before claiming a specific interface becomes invisible.
